Neighborhood,MVSF,RZSF,1B,2B
Midtown,276.0,1.9039999999999999,211900.0,322700.0
Downtown,185.0,1.6459999999999999,140500.0,297100.0
Old Fourth Ward,197.0,1.496,nan,nan
Pine Hills,162.0,1.3220000000000001,123500.0,202600.0
North Buckhead,281.0,1.716,229500.0,420100.0
Morningside - Lenox Park,323.0,1.8100000000000001,145400.0,465800.0
Virginia Highland,316.0,1.8460000000000001,163400.0,522400.0
Grant Park,229.0,1.304,nan,nan
Kirkwood,225.0,1.3120000000000001,nan,nan
Home Park,226.0,1.524,nan,nan
Collier Heights,36.0,0.754,nan,nan
Campbellton Road,45.0,0.752,nan,nan
Grove Park,45.0,0.79400000000000004,nan,nan
East Atlanta,196.0,1.212,nan,nan
Lindridge - Martin Manor,250.0,1.496,nan,nan
Sylvan Hills,44.0,0.74199999999999999,nan,nan
West End,61.0,0.69999999999999996,nan,nan
Peachtree Heights West,251.0,1.772,143300.0,215900.0
Chosewood Park,48.0,0.94199999999999995,nan,nan
Glenrose Heights,49.0,0.77000000000000002,nan,nan
Ormewood Park,224.0,1.3160000000000001,208400.0,289600.0
Greenbriar,51.0,0.68000000000000005,nan,nan
Inman Park,282.0,1.6779999999999999,242200.0,386900.0
Underwood Hills,168.0,1.3380000000000001,nan,nan
Venetian Hills,41.0,0.746,nan,nan
Chastain Park,324.0,1.75,nan,nan
Oakland City,41.0,0.76400000000000001,nan,nan
Garden Hills,305.0,1.774,116000.0,491600.0
Candler Park,289.0,1.5860000000000001,134800.0,393500.0
Pittsburgh,45.0,0.78200000000000003,nan,nan
Southwest,61.0,0.66600000000000004,nan,nan
English Avenue,44.0,0.79000000000000004,nan,nan
West View,43.0,0.67000000000000004,nan,nan
Center Hill,43.0,0.82799999999999996,nan,nan
Adamsville,44.0,0.80800000000000005,nan,nan
Lakewood Heights,46.0,0.76800000000000002,nan,nan
Reynoldstown,220.0,1.4059999999999999,206000.0,267400.0
Perkerson,35.0,0.73799999999999999,nan,nan
East Lake,207.0,1.1539999999999999,nan,nan
Summerhill,136.0,1.022,nan,nan
Brookhaven,343.0,1.9159999999999999,nan,nan
Peachtree Hills,301.0,1.698,nan,nan
Poncey-Highland,259.0,1.696,170700.0,283400.0
Lake Claire,298.0,1.6200000000000001,nan,nan
Paces,285.0,1.6359999999999999,nan,nan
Peoplestown,82.0,0.92800000000000005,nan,nan
Cascade Avenue-Road,39.0,0.69799999999999995,nan,nan
Bolton,164.0,1.238,nan,nan
Browns Mill Park,46.0,0.73999999999999999,nan,nan
Buckhead Forest,225.0,1.4259999999999999,nan,nan
Vine City,52.0,0.85399999999999998,nan,nan
Brookwood Hills,327.0,1.958,nan,nan
Mt. Paran - Northside,349.0,1.8560000000000001,nan,nan
Princeton Lakes,83.0,0.70999999999999996,nan,nan
Peachtree Battle Alliance,384.0,2.0979999999999999,nan,nan
Castleberry Hill,154.0,1.21,160200.0,195600.0
Capitol View,47.0,0.72599999999999998,nan,nan
Ridgedale Park,241.0,1.456,152500.0,325000.0
Adams Park,46.0,0.63,nan,nan
Atlantic Station,244.0,1.746,185500.0,306600.0
Lenox,216.0,1.5940000000000001,203000.0,325100.0
Ansley Park,294.0,1.8440000000000001,209700.0,426800.0
Dixie Hills,42.0,0.86799999999999999,nan,nan
Hills Park,177.0,1.0700000000000001,nan,nan
Mozley Park,40.0,0.69799999999999995,nan,nan
Cascade Heights,66.0,0.66200000000000003,nan,nan
Buckhead Village,251.0,1.8919999999999999,205100.0,335800.0
Druid Hills,222.0,1.486,nan,nan
South Atlanta,47.0,0.82199999999999995,nan,nan
Loring Heights,223.0,1.6220000000000001,152900.0,280800.0
East Chastain Park,233.0,1.5720000000000001,nan,nan
West Paces Ferry - Northside,305.0,1.6699999999999999,nan,nan
Fairburn Heights,44.0,0.872,nan,nan
Brookwood,213.0,1.5,124500.0,268700.0
Washington Park,40.0,0.71999999999999997,nan,nan
Peachtree Park,325.0,1.694,nan,nan
Polar Rock,47.0,0.85399999999999998,nan,nan
Ardmore,297.0,1.8200000000000001,nan,nan
Springlake,301.0,1.6379999999999999,nan,nan
Midwest Cascade,94.0,0.67600000000000005,nan,nan
Peachtree Heights East,278.0,1.6060000000000001,nan,nan
Cabbagetown,244.0,1.6020000000000001,237100.0,310800.0
Margaret Mitchell,279.0,1.5,nan,nan
Florida Heights,43.0,0.79400000000000004,nan,nan
Edgewood,213.0,1.3100000000000001,203900.0,255700.0
Lindbergh,188.0,1.4019999999999999,nan,nan
Lakewood,43.0,0.83999999999999997,nan,nan
Mechanicsville,53.0,0.86399999999999999,nan,nan
Cross Creek,138.0,1.25,117000.0,nan
Riverside,159.0,1.0880000000000001,nan,nan
Hammond Park,47.0,0.81000000000000005,nan,nan
South River Gardens,45.0,0.76200000000000001,nan,nan
Bankhead,41.0,0.77800000000000002,nan,nan
