Region,Codes
Mission,00097
Bernal Heights,00354
Excelsior,00384
Central Richmond,00398
Bayview,00437
Downtown,00443
South of Market,00457
Central Sunset,00460
Visitacion Valley,00478
Parkside,00506
Pacific Heights,00512
Nob Hill,00518
Inner Richmond,00550
Noe Valley,00560
Outer Sunset,00567
Portola,00568
Outer Richmond,00581
Inner Sunset,00584
Outer Parkside,00673
Russian Hill,00690
Hayes Valley,00748
Marina,00768
Van Ness - Civic Center,00794
Crocker Amazon,00846
South Beach,00862
Lower Pacific Heights,00903
Eureka Valley - Dolores Heights - Castro,00922
Western Addition,00944
Potrero Hill,00967
Outer Mission,00988
North Panhandle,00993
Haight-Ashbury,00994
Mission Terrace,00999
Ingleside,01080
Silver Terrace,01220
Cow Hollow,01234
Glen Park,01323
Telegraph Hill,01346
Lake,01427
Lone Mountain,01437
Oceanview,01518
North Beach,01651
Ingleside Heights,01693
Sunnyside,01801
Lakeshore,02067
Parnassus - Ashbury,02074
Yerba Buena,02098
Inner Parkside,02175
Miraloma Park,02218
Jordan Park - Laurel Heights,02304
Presidio Heights,02323
Corona Heights,02555
Midtown Terrace,02709
Twin Peaks,02801
Merced Heights,02893
West Portal,03008
Forest Hill,03058
Buena Vista Park,03092
Golden Gate Heights,03173
North Waterfront,03196
Westwood Highlands,03588
Ingleside Terrace,03605
Westwood Park,03637
Mount Davidson Manor,03738
St. Francis Wood,03768
Central Waterfront - Dogpatch,03785
Little Hollywood,03801
Forest Hill Extension,03868
Lakeside,03916
Sea Cliff,04023
Financial District,04567
Diamond Heights,04620
Mission Bay,04693
Forest Knolls,04718
Tenderloin,05905
Stonestown,05924
Chinatown,05960
Alamo Square,05962
Presidio,06056
Duboce Triangle,06085
Clarendon Heights,06463
Hunters Point,06699
Anza Vista,06788
Monterey Heights,07185
Pine Lake Park,08355
Merced Manor,08394
Balboa Terrace,09036
Sherwood Forest,09077
